symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ETH/USD,2023-03-17 15:35:00+00:00,1718.78,1720.31,1718.74,1719.26,7.9043,19.0,1719.3469434359
ETH/USD,2023-03-17 15:36:00+00:00,1719.21,1719.65,1717.75,1717.75,9.7038,19.0,1718.2262973268
ETH/USD,2023-03-17 15:37:00+00:00,1717.05,1718.55,1716.14,1717.54,21.2693,43.0,1716.7551737481
ETH/USD,2023-03-17 15:38:00+00:00,1717.27,1717.87,1717.12,1717.87,5.9415,9.0,1717.3288083817
ETH/USD,2023-03-17 15:39:00+00:00,1717.62,1717.87,1716.37,1716.88,8.275,12.0,1716.9764265861
ETH/USD,2023-03-17 15:40:00+00:00,1716.53,1717.83,1716.07,1717.78,23.6295,25.0,1716.8129034893
ETH/USD,2023-03-17 15:41:00+00:00,1717.56,1718.83,1716.74,1717.1,5.4664,10.0,1718.0125385994
ETH/USD,2023-03-17 15:42:00+00:00,1717.26,1717.47,1714.84,1715.18,4.8771,21.0,1716.1114406102
ETH/USD,2023-03-17 15:43:00+00:00,1714.84,1714.84,1711.85,1711.85,46.9067,90.0,1713.7463011894
ETH/USD,2023-03-17 15:44:00+00:00,1711.64,1712.94,1710.77,1712.49,19.7097,32.0,1711.7980227502
ETH/USD,2023-03-17 15:45:00+00:00,1713.34,1714.89,1713.34,1714.89,6.6389,14.0,1713.5951870039
ETH/USD,2023-03-17 15:46:00+00:00,1714.48,1716.12,1714.18,1714.61,27.3674,26.0,1715.5142630648
ETH/USD,2023-03-17 15:47:00+00:00,1714.76,1715.44,1712.9,1713.42,7.4027,24.0,1714.2557303416
ETH/USD,2023-03-17 15:48:00+00:00,1713.39,1715.4,1712.87,1713.48,10.8349,19.0,1713.6254979741
ETH/USD,2023-03-17 15:49:00+00:00,1714.01,1716.31,1713.99,1716.31,22.2819,23.0,1715.4891094566
ETH/USD,2023-03-17 15:50:00+00:00,1715.58,1718.58,1715.38,1718.43,24.785,61.0,1716.8334381682
ETH/USD,2023-03-17 15:51:00+00:00,1718.37,1718.99,1716.79,1717.57,9.0602,32.0,1718.0121769939
ETH/USD,2023-03-17 15:52:00+00:00,1717.57,1718.99,1717.2,1718.91,16.0602,30.0,1718.1932902455
ETH/USD,2023-03-17 15:53:00+00:00,1718.88,1719.75,1718.31,1719.49,30.6656,28.0,1719.0609947629
ETH/USD,2023-03-17 15:54:00+00:00,1719.6,1719.62,1716.83,1716.83,4.6878,17.0,1718.8369166773
ETH/USD,2023-03-17 15:55:00+00:00,1716.76,1718.0,1716.75,1718.0,18.3502,21.0,1717.3942830051
ETH/USD,2023-03-17 15:56:00+00:00,1718.46,1719.54,1717.93,1717.93,16.7736,32.0,1718.5148476177
ETH/USD,2023-03-17 15:57:00+00:00,1718.31,1718.43,1716.59,1716.89,7.6499,18.0,1717.3024307507
ETH/USD,2023-03-17 15:58:00+00:00,1716.59,1718.59,1716.21,1718.36,20.6313,41.0,1716.7491239524
ETH/USD,2023-03-17 15:59:00+00:00,1718.45,1719.55,1718.24,1719.27,5.6095,13.0,1718.7058345664
ETH/USD,2023-03-17 16:00:00+00:00,1719.47,1719.68,1718.39,1719.09,6.0357,17.0,1718.9887744586
ETH/USD,2023-03-17 16:01:00+00:00,1719.08,1719.08,1717.64,1718.61,19.9019,30.0,1718.0428767605
ETH/USD,2023-03-17 16:02:00+00:00,1718.68,1719.61,1718.2,1718.75,15.6166,28.0,1718.5449995518
ETH/USD,2023-03-17 16:03:00+00:00,1718.52,1719.76,1717.12,1719.76,14.5233,27.0,1717.9895918972
ETH/USD,2023-03-17 16:04:00+00:00,1719.58,1720.35,1718.9,1719.94,19.3975,43.0,1719.4808722774
